review,rating,date,bank,source
applied,1,2025-10-14,Commercial Bank of Ethiopia,Google Play
10 years ago,4,2025-10-14,Commercial Bank of Ethiopia,Google Play
asefa obsa,5,2025-10-14,Commercial Bank of Ethiopia,Google Play
best app,4,2025-10-14,Commercial Bank of Ethiopia,Google Play
it s good app,5,2025-10-14,Commercial Bank of Ethiopia,Google Play
very slow,1,2025-10-14,Commercial Bank of Ethiopia,Google Play
berhan deriba wami,4,2025-10-14,Commercial Bank of Ethiopia,Google Play
good,5,2025-10-13,Commercial Bank of Ethiopia,Google Play
mahamad usman,5,2025-10-13,Commercial Bank of Ethiopia,Google Play
erako,5,2025-10-13,Commercial Bank of Ethiopia,Google Play
,5,2025-10-13,Commercial Bank of Ethiopia,Google Play
opne,5,2025-10-13,Commercial Bank of Ethiopia,Google Play
mehommd nuri,5,2025-10-13,Commercial Bank of Ethiopia,Google Play
best,5,2025-10-12,Commercial Bank of Ethiopia,Google Play
good,5,2025-10-12,Commercial Bank of Ethiopia,Google Play
providing very secure service.,5,2025-10-12,Commercial Bank of Ethiopia,Google Play
apk apkwun,1,2025-10-12,Commercial Bank of Ethiopia,Google Play
,5,2025-10-12,Commercial Bank of Ethiopia,Google Play
riyad mohammed abaoli 92 527 2567,5,2025-10-12,Commercial Bank of Ethiopia,Google Play
it doesn t show bank statement and no options to see transactions for the past months.,2,2025-10-12,Commercial Bank of Ethiopia,Google Play
mamma husen,2,2025-10-11,Commercial Bank of Ethiopia,Google Play
ok,5,2025-10-11,Commercial Bank of Ethiopia,Google Play
3 stars because i can t see all my transaction history apart from the recents and a refresh button has been removed from the recents activity. the app should allow clients to view all of the transactions not just recents.,3,2025-10-11,Commercial Bank of Ethiopia,Google Play
good,5,2025-10-10,Commercial Bank of Ethiopia,Google Play
exceptional application from others bank,5,2025-10-10,Commercial Bank of Ethiopia,Google Play
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,Commercial Bank of Ethiopia,Google Play
good,5,2025-10-10,Commercial Bank of Ethiopia,Google Play
really good app,5,2025-10-10,Commercial Bank of Ethiopia,Google Play
smart bank cbe,5,2025-10-10,Commercial Bank of Ethiopia,Google Play
ali urgesa11,3,2025-10-09,Commercial Bank of Ethiopia,Google Play
it s good,5,2025-10-09,Commercial Bank of Ethiopia,Google Play
good apps,5,2025-10-09,Commercial Bank of Ethiopia,Google Play
good,5,2025-10-09,Commercial Bank of Ethiopia,Google Play
password,4,2025-10-09,Commercial Bank of Ethiopia,Google Play
best app i ever seen,5,2025-10-09,Commercial Bank of Ethiopia,Google Play
it s game changing in financial system,4,2025-10-09,Commercial Bank of Ethiopia,Google Play
"z,mkt 20 . !8 r",1,2025-10-09,Commercial Bank of Ethiopia,Google Play
will good updating,5,2025-10-09,Commercial Bank of Ethiopia,Google Play
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,Commercial Bank of Ethiopia,Google Play
why removing screenshot feature why?,2,2025-10-08,Commercial Bank of Ethiopia,Google Play
very good application! thank you all who participate!,5,2025-10-08,Commercial Bank of Ethiopia,Google Play
application bank commercial ethiopia i am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,Commercial Bank of Ethiopia,Google Play
user compatible app!,5,2025-10-08,Commercial Bank of Ethiopia,Google Play
"i am trying to access this app on my android phone, but sometimes doesn t work. so kindly try to improve it.",3,2025-10-07,Commercial Bank of Ethiopia,Google Play
what an amazing app. you know how much it simplify life. thanks cbe. i proud of you.,5,2025-10-07,Commercial Bank of Ethiopia,Google Play
our commercial bank of ethiopia is good !,5,2025-10-06,Commercial Bank of Ethiopia,Google Play
asledin ibsa,5,2025-10-06,Commercial Bank of Ethiopia,Google Play
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,Commercial Bank of Ethiopia,Google Play
my bank,5,2025-10-05,Commercial Bank of Ethiopia,Google Play
data,5,2025-10-04,Commercial Bank of Ethiopia,Google Play
"lately i am facing a problem with the app ,and the problem is when log in and inter my pin it doesn t work at all and says can t sync why does it say that i was working fine a few day ago and also it says when i enter my pin change your pin to 6 digit pin and it doesn t allow me to change it please solve what is the problem with the app ?",2,2025-10-04,Commercial Bank of Ethiopia,Google Play
excellent app with lots of features,5,2025-10-04,Commercial Bank of Ethiopia,Google Play
very good mobile banking,5,2025-10-04,Commercial Bank of Ethiopia,Google Play
so special,5,2025-10-04,Commercial Bank of Ethiopia,Google Play
wiiy ewdihiliw esimirt niho yitnehew metgeyot,1,2025-10-03,Commercial Bank of Ethiopia,Google Play
woow cbe,5,2025-10-03,Commercial Bank of Ethiopia,Google Play
cbe the best bank app,4,2025-10-03,Commercial Bank of Ethiopia,Google Play
this app cbe bank it s simple and smart i like it.,5,2025-10-03,Commercial Bank of Ethiopia,Google Play
rijalufaris,5,2025-10-02,Commercial Bank of Ethiopia,Google Play
its best app but i hate the repeatedly update request,5,2025-10-02,Commercial Bank of Ethiopia,Google Play
good app,5,2025-10-02,Commercial Bank of Ethiopia,Google Play
imoo,3,2025-10-02,Commercial Bank of Ethiopia,Google Play
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,Commercial Bank of Ethiopia,Google Play
screen shoot always not allowed why?,5,2025-10-02,Commercial Bank of Ethiopia,Google Play
enkorabetalen,5,2025-10-01,Commercial Bank of Ethiopia,Google Play
good,5,2025-10-01,Commercial Bank of Ethiopia,Google Play
gamada mahamadi,1,2025-10-01,Commercial Bank of Ethiopia,Google Play
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,Commercial Bank of Ethiopia,Google Play
verfcasencod,5,2025-09-30,Commercial Bank of Ethiopia,Google Play
you can t get your own transaction history,1,2025-09-29,Commercial Bank of Ethiopia,Google Play
sintu,5,2025-09-29,Commercial Bank of Ethiopia,Google Play
best,5,2025-09-28,Commercial Bank of Ethiopia,Google Play
bank of ethiopia,5,2025-09-28,Commercial Bank of Ethiopia,Google Play
"all most good, but need improvement",5,2025-09-27,Commercial Bank of Ethiopia,Google Play
"great application for me,so i would like to rate with solid 5 star.that it works well overall. so hello everyone enjoy the apps",5,2025-09-27,Commercial Bank of Ethiopia,Google Play
poor app all of you guys delete cbe and download boa,1,2025-09-27,Commercial Bank of Ethiopia,Google Play
niceapp,5,2025-09-27,Commercial Bank of Ethiopia,Google Play
good,5,2025-09-26,Commercial Bank of Ethiopia,Google Play
good,5,2025-09-25,Commercial Bank of Ethiopia,Google Play
the best app of all,5,2025-09-25,Commercial Bank of Ethiopia,Google Play
,5,2025-09-25,Commercial Bank of Ethiopia,Google Play
"most of the time when i try to open the app, it does not load. the circle keeps spinning as if it is trying to open, and get a message saying 2 attempts left for offline login . this seems to mean that the app cannot connect to the internet, even though i have a stable internet connection, and all other stuff work properly.",2,2025-09-24,Commercial Bank of Ethiopia,Google Play
juhaar,5,2025-09-24,Commercial Bank of Ethiopia,Google Play
i am using cbe app very fantastic.,5,2025-09-24,Commercial Bank of Ethiopia,Google Play
bist app tankyou,4,2025-09-23,Commercial Bank of Ethiopia,Google Play
this is very useful and consistent app,5,2025-09-23,Commercial Bank of Ethiopia,Google Play
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,Commercial Bank of Ethiopia,Google Play
so good,5,2025-09-23,Commercial Bank of Ethiopia,Google Play
it will be more better if the app have the feature receipt verifying from qr code screenshot images from gallery ... currently it works only from direct camera capturing,4,2025-09-23,Commercial Bank of Ethiopia,Google Play
"from the ux perspective it can be better, it s old and it s not obvious where you can find some things",3,2025-09-22,Commercial Bank of Ethiopia,Google Play
